Waldburgstraße;2;Stuttgart
Fauststraße;5;Stuttgart
Vaihingen Viadukt;6;Stuttgart
Engelboldstraße;8;Stuttgart
Südheimer Platz;13;Stuttgart
Bihlplatz;15;Stuttgart
Neckartor;25;Stuttgart
Stöckach;26;Stuttgart
Metzstraße;27;Stuttgart
Mineralbäder;28;Stuttgart
Mercedesstraße;30;Stuttgart
Uff-Kirchhof;32;Stuttgart
Augsburger Platz;33;Stuttgart
Nürnberger Straße;34;Stuttgart
Antwerpener Straße;35;Stuttgart
Beskidenstraße;36;Stuttgart
Fellbach Höhenstraße;37;Fellbach
Fellbach Esslinger Straße;38;Fellbach
Fellbach Schwabenlandhalle;39;Fellbach
Heslach Vogelrain;43;Stuttgart
Berliner Platz (Hohe Straße);55;Stuttgart
Büchsenstraße;69;Stuttgart
Kleiner Schlossplatz;70;Stuttgart
Karl-Olga-Krankenhaus;76;Stuttgart
Bergfriedhof;77;Stuttgart
Ostheim Leo-Vetter-Bad;78;Stuttgart
Gaisburg;79;Stuttgart
Wangener-/Landhausstraße;80;Stuttgart
Brendle (Großmarkt);81;Stuttgart
Im Degen;82;Stuttgart
Inselstraße;83;Stuttgart
Wasenstraße;84;Stuttgart
Großglocknerstraße;86;Stuttgart
Neckarhalde;87;Stuttgart
Ebniseestraße;89;Stuttgart
Bergstaffelstraße;90;Stuttgart
Wollinstraße;94;Stuttgart
Neuwirtshauskreuzung;95;Stuttgart
Niebuhrweg;96;Stuttgart
Marco-Polo-Weg;97;Stuttgart
Stammheim;100;Stuttgart
Korntaler Straße;102;Stuttgart
Heutingsheimer Straße;103;Stuttgart
Wimpfener Straße;104;Stuttgart
Kornwestheimer Straße;105;Stuttgart
Zahn-Nopper-Straße;106;Stuttgart
Kirchtalstraße;107;Stuttgart
Zuffenhausen Rathaus;108;Stuttgart
Zuffenhausen Friedhof;109;Stuttgart
Friedrichswahl;110;Stuttgart
Borsigstraße;111;Stuttgart
Sieglestraße;112;Stuttgart
Sonatenweg;114;Stuttgart
Pragfriedhof;115;Stuttgart
Stafflenbergstraße;123;Stuttgart
Bubenbad;124;Stuttgart
Payerstraße;125;Stuttgart
Geroksruhe;126;Stuttgart
Silberwald;129;Stuttgart
Waldau;130;Stuttgart
Heumaden;136;Stuttgart
Isegrimweg;137;Stuttgart
Gerlingen Siedlung;141;Gerlingen
Gerlingen Rossbaum;142;Gerlingen
Gerlingen Breitwiesen;143;Gerlingen
Giebel;144;Stuttgart
Salamanderweg;145;Stuttgart
Bergheimer Hof;146;Stuttgart
Wolfbusch;147;Stuttgart
Rastatter Straße;148;Stuttgart
Gerlingen Goethestraße;149;Gerlingen
Mathildenstraße;150;Stuttgart
Landauer Straße;151;Stuttgart
Feuerbach Pfostenwäldle;152;Stuttgart
Sportpark Feuerbach;153;Stuttgart
Föhrich;154;Stuttgart
Leobener Straße;156;Stuttgart
Maybachstraße;158;Stuttgart
Dobelstraße;159;Stuttgart
Neue Weinsteige 61;161;Stuttgart
Altenbergstaffel;162;Stuttgart
Weinsteige;163;Stuttgart
Karl-Pfaff-Straße;164;Stuttgart
Haigst;165;Stuttgart
Vaihinger Straße;170;Stuttgart
Leinf. Unteraichen;174;Leinfelden-Echterdingen
Leinfelden;175;Leinfelden-Echterdingen
Rohrer Weg;183;Stuttgart
Grötzingen Raiffeisenstraße;190;Aichtal
Am Äußeren Graben;192;Stuttgart
Emerholz;193;Stuttgart
Withau;194;Stuttgart
Greut;195;Stuttgart
Stammheim Sporthalle;196;Stuttgart
Wespenweg;197;Stuttgart
Freihofplatz;198;Stuttgart
Am Kirchplatz;199;Stuttgart
Kameralamtsstraße;200;Stuttgart
Admiralweg;201;Stuttgart
Schwärmerweg;202;Stuttgart
Segelfalterstraße;203;Stuttgart
Tagfalterweg;204;Stuttgart
Schwilkenhofstraße;205;Stuttgart
Stammheim Friedhof;206;Stuttgart
Generationenhaus;207;Stuttgart
Millöckerstraße;211;Stuttgart
Beethovenstraße;212;Stuttgart
Wielandstraße;215;Stuttgart
Herderplatz;216;Stuttgart
Vogelsang;217;Stuttgart
Arndt-/Spittastraße;218;Stuttgart
Raitelsberg;222;Stuttgart
Wangen Marktplatz;225;Stuttgart
Hedelfinger Straße;226;Stuttgart
Hedelfingen;227;Stuttgart
Börsenplatz;229;Stuttgart
Wilhelma;254;Stuttgart
Rosensteinpark;262;Stuttgart
Glockenstraße;263;Stuttgart
Kienbachstraße;264;Stuttgart
Blick;265;Stuttgart
Eszet;267;Stuttgart
Schlotterbeckstraße;268;Stuttgart
Auwiesen;271;Stuttgart
Hofen;272;Stuttgart
Wagrainäcker;274;Stuttgart
Elbestraße;275;Stuttgart
Freibergstraße;276;Stuttgart
Münster Rathaus;277;Stuttgart
Münster Viadukt;278;Stuttgart
Weserstraße;279;Stuttgart
Kraftwerk Münster;280;Stuttgart
Mühlsteg;281;Stuttgart
Suttnerstraße;288;Stuttgart
Himmelsleiter;289;Stuttgart
Mittnachtstraße;296;Stuttgart
Milchhof;297;Stuttgart
Budapester Platz;299;Stuttgart
Friedhofstraße;303;Stuttgart
Tal-/Ostendstraße;306;Stuttgart
Musberg Karlstraße;309;Leinfelden-Echterdingen
Musberg Friedhof;310;Leinfelden-Echterdingen
Filderbahnstraße;316;Stuttgart
Elsterstaffel;318;Stuttgart
Losäcker;319;Stuttgart
Gerlingen Laichlestr.;320;Gerlingen
Gnesener Straße;321;Stuttgart
Kursaal;322;Stuttgart
Daimlerplatz;323;Stuttgart
Nägelestraße;341;Stuttgart
Wielandshöhe;342;Stuttgart
Pfaffenweg;343;Stuttgart
Liststraße;344;Stuttgart
SSB-Zentrum;350;Stuttgart
Plieninger Straße;353;Stuttgart
Sigmaringer Straße;354;Stuttgart
Wallgraben;355;Stuttgart
Jurastraße;356;Stuttgart
Salzäcker;360;Stuttgart
Freytagweg;361;Stuttgart
Schelmenwasen;363;Stuttgart
Fasanenhof;364;Stuttgart
Kelterstraße;370;Stuttgart
Tunnelstraße;371;Stuttgart
Villastraße;372;Stuttgart
Stuttgart Moselstraße;373;Stuttgart
Stuttgart Rembrandtstraße;374;Stuttgart
Bieler Weg;375;Stuttgart
Ulmenstraße;376;Stuttgart
Wangen Kelter;377;Stuttgart
Höfingen;1003;Leonberg
Zazenhausen;1200;Stuttgart
Sommerrain;1300;Stuttgart
Malmsheim;1301;Renningen
Rutesheim;1302;Leonberg
Weil der Stadt;1303;Weil der Stadt
Bietigheim;1400;Bietigheim-Bissingen
Kornwestheim;1402;Kornwestheim
Neuwirtsh. (Porschep.);1403;Stuttgart
Benningen (N);1500;Benningen 
Freiberg (N);1503;Freiberg
Münster;1504;Stuttgart
Nellmersbach;1601;Leutenbach
Neustadt-Hohenacker;1602;Waiblingen
Schwaikheim;1603;Schwaikheim
Ebitzweg;1604;Stuttgart
Stetten-Beinstein;1701;Weinstadt
Geradstetten;1702;Remshalden
Grunbach;1703;Remshalden
Weiler (R);1704;Schorndorf
Winterbach;1705;Winterbach
Altbach;1800;Altbach
Mettingen;1801;Esslingen
Oberesslingen;1802;Esslingen
Zell;1803;Esslingen
Filderstadt;1905;Filderstadt
Ellental;1910;Bietigheim-Bissingen
Bonlanden Raiffeisenstraße;1997;Filderstadt
Bernhausen Johanneskirche;1998;Filderstadt
Bernhausen Rosenstraße;1999;Filderstadt
Aich Rudolfshöhe;2000;Aichtal
Aich Ort;2001;Aichtal
Aich Siedlung;2003;Aichtal
Bernhausen Bahnhof;2006;Filderstadt
Aich Stern;2007;Aichtal
Bernhausen Hauptstraße;2008;Filderstadt
Bernhausen Karlstraße;2009;Filderstadt
Bernhausen Fröbelstr.;2012;Filderstadt
Bonlanden Bonlandener Straße;2015;Filderstadt
Bonlanden Filderklinik;2016;Filderstadt
Bonlanden Fildorado;2017;Filderstadt
Bonlanden Gutenhalde;2018;Filderstadt
Bonlanden Hauptstraße;2019;Filderstadt
Bonlanden Reußensteinweg;2020;Filderstadt
Bonlanden Nord;2021;Filderstadt
Bonlanden Rotzeil;2022;Filderstadt
Harthausen Linde;2023;Filderstadt
Harthausen Kirche;2024;Filderstadt
Plattenhardt Driefbrunnen;2025;Filderstadt
Plattenhardt Industriegebiet;2026;Filderstadt
Plattenhardt Schnecken;2027;Filderstadt
Plattenhardt Rathaus;2028;Filderstadt
Plattenhardt Waldstraße;2029;Filderstadt
Sielmingen Alemannenstraße;2030;Filderstadt
Sielmingen Friedrichstraße;2031;Filderstadt
Sielmingen Harthäuser Weg;2032;Filderstadt
Sielmingen Kantstraße;2033;Filderstadt
Sielmingen Lange Straße;2035;Filderstadt
Sielmingen Rathaus;2036;Filderstadt
Bernhäuser Straße;2037;Stuttgart
Kaserne Möhringen;2038;Stuttgart
Plieningen Post;2039;Stuttgart
Scharnhäuser Brücke;2040;Stuttgart
Steckfeld;2041;Stuttgart
Sielmingen Schul-/Sportzentrum;2042;Filderstadt
Bernhausen Neuhäuser Str.;2043;Filderstadt
Bernhausen Rathaus;2044;Filderstadt
Sielmingen Friedhof;2045;Filderstadt
Bonlanden Waldorfschule;2046;Filderstadt
Plattenhardt Weilerhau;2047;Filderstadt
Bernh. E.-Selbert-Gymnasium;2049;Filderstadt
Leipziger Platz;2050;Stuttgart
Plattenhardt Schillerstraße;2051;Filderstadt
Bonlanden Rainäckerstraße;2052;Filderstadt
Senefelderstraße;2053;Stuttgart
Marienstraße;2054;Stuttgart
Plattenhardt Schönbuchstraße;2055;Filderstadt
Plattenhardt Altenheim;2056;Filderstadt
Friedenstraße;2057;Stuttgart
Urachstraße;2058;Stuttgart
Schwarenbergstraße;2059;Stuttgart
Wilhelmsbau;2061;Stuttgart
Schlaitdorf Mitte;2062;Schlaitdorf
Häslach Süd;2063;Walddorfhäslach
Häslach Seestraße;2064;Walddorfhäslach
Altenriet Schule;2065;Altenriet
Altenriet Rathaus;2066;Altenriet
Walddorf Hohebildstraße;2067;Walddorfhäslach
Walddorf Rathaus (Notariat);2068;Walddorfhäslach
Leinfelden Neuer Markt;2069;Leinfelden-Echterdingen
Schlaitdorf Neckartailf. Str.;2070;Schlaitdorf
Bernhausen Fleinsbach;2071;Filderstadt
Bernhausen TÜV;2072;Filderstadt
Plattenhardt Finkenstraße;2074;Filderstadt
Bernhausen Filharmonie;2076;Filderstadt
Bernhausen Diepoldstraße;2077;Filderstadt
Bonlanden Marktstraße;2078;Filderstadt
Bernhausen Nord-West-Ring;2079;Filderstadt
Harthausen Roßbergstraße;2080;Filderstadt
